Codice,Location,Provincia,Regione,data,scontrini,lordototale,giorno,mese,year,stagione,festività,festivo_ferriale,Covid,colore,scontrino_medio
R000,Montebello,Pavia,Lombardia,2018-01-01,21884,500409.9,Monday,January,2018,Winter,Capodanno,Festivo,Pre-Covid19,Pre-Covid19,22.87
R000,Montebello,Pavia,Lombardia,2018-01-02,0,0.0,Tuesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-03,0,0.0,Wednesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-04,0,0.0,Thursday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-05,0,0.0,Friday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-06,0,0.0,Saturday,January,2018,Winter,Epifania,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-07,0,0.0,Sunday,January,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-08,0,0.0,Monday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-09,0,0.0,Tuesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-10,0,0.0,Wednesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-11,0,0.0,Thursday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-12,0,0.0,Friday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-13,0,0.0,Saturday,January,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-14,0,0.0,Sunday,January,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-15,0,0.0,Monday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-16,0,0.0,Tuesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-17,0,0.0,Wednesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-18,0,0.0,Thursday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-19,0,0.0,Friday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-20,0,0.0,Saturday,January,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-21,0,0.0,Sunday,January,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-22,0,0.0,Monday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-23,0,0.0,Tuesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-24,0,0.0,Wednesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-25,0,0.0,Thursday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-26,0,0.0,Friday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-27,0,0.0,Saturday,January,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-28,0,0.0,Sunday,January,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-29,0,0.0,Monday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-30,0,0.0,Tuesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-01-31,0,0.0,Wednesday,January,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-01,17490,387601.2,Thursday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,22.16
R000,Montebello,Pavia,Lombardia,2018-02-02,0,0.0,Friday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-03,0,0.0,Saturday,February,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-04,0,0.0,Sunday,February,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-05,0,0.0,Monday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-06,0,0.0,Tuesday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-07,0,0.0,Wednesday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-08,0,0.0,Thursday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-09,0,0.0,Friday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-10,0,0.0,Saturday,February,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-11,0,0.0,Sunday,February,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-12,0,0.0,Monday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-13,0,0.0,Tuesday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-14,0,0.0,Wednesday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-15,0,0.0,Thursday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-16,0,0.0,Friday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-17,0,0.0,Saturday,February,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-18,0,0.0,Sunday,February,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-19,0,0.0,Monday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-20,0,0.0,Tuesday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-21,0,0.0,Wednesday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-22,0,0.0,Thursday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-23,0,0.0,Friday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-24,0,0.0,Saturday,February,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-25,0,0.0,Sunday,February,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-26,0,0.0,Monday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-27,0,0.0,Tuesday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-02-28,0,0.0,Wednesday,February,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-01,21714,449730.9,Thursday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,20.71
R000,Montebello,Pavia,Lombardia,2018-03-02,0,0.0,Friday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-03,0,0.0,Saturday,March,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-04,0,0.0,Sunday,March,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-05,0,0.0,Monday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-06,0,0.0,Tuesday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-07,0,0.0,Wednesday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-08,0,0.0,Thursday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-09,0,0.0,Friday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-10,0,0.0,Saturday,March,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-11,0,0.0,Sunday,March,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-12,0,0.0,Monday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-13,0,0.0,Tuesday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-14,0,0.0,Wednesday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-15,0,0.0,Thursday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-16,0,0.0,Friday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-17,0,0.0,Saturday,March,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-18,0,0.0,Sunday,March,2018,Winter,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-19,0,0.0,Monday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-20,0,0.0,Tuesday,March,2018,Winter,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-21,0,0.0,Wednesday,March,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-22,0,0.0,Thursday,March,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-23,0,0.0,Friday,March,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-24,0,0.0,Saturday,March,2018,Spring,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-25,0,0.0,Sunday,March,2018,Spring,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-26,0,0.0,Monday,March,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-27,0,0.0,Tuesday,March,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-28,0,0.0,Wednesday,March,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-29,0,0.0,Thursday,March,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-30,0,0.0,Friday,March,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-03-31,0,0.0,Saturday,March,2018,Spring,No,Festivo,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-04-01,22326,483224.4,Sunday,April,2018,Spring,Pasqua,Festivo,Pre-Covid19,Pre-Covid19,21.64
R000,Montebello,Pavia,Lombardia,2018-04-02,0,0.0,Monday,April,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-04-03,0,0.0,Tuesday,April,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-04-04,0,0.0,Wednesday,April,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-04-05,0,0.0,Thursday,April,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
R000,Montebello,Pavia,Lombardia,2018-04-06,0,0.0,Friday,April,2018,Spring,No,Feriale,Pre-Covid19,Pre-Covid19,0.0
